repository_name_with_owner;repository_url;repository_stars;git_folder_name;nbrOfQueries;nbrOfDBMethods;nbrOfDBMethodCovered;nbrOfDBMethodsNonTest;nbrOfDBMethodsNonTestCovered;dba_cov_rate;nbrOfMethodsJacoco;nbrOfMethodCovered;method_cov_rate;nbrOfMethodsExclDBA;nbrMethodCoveredExclDBA;method_cov_rate_excl_DBA;db_methods_rate;diff_in_rates;quartile_method;quartile_db
twhitmorenz/linearblockalloc;https://github.com/twhitmorenz/linearblockalloc;0;linearblockalloc;1;1;0;1;1;100;11;11;100;11;11;100;9.09;-100;Q4;Q4
jeffdcamp/dbtools-jpa;https://github.com/jeffdcamp/dbtools-jpa;0;dbtools-jpa;20;13;13;13;11;84,61538462;25;24;96;12;13;100;52;-11.379.999.999.999.900;Q4;Q3
zapodot/embedded-db-junit;https://github.com/zapodot/embedded-db-junit;31;embedded-db-junit;23;22;3;4;3;75;124;124;100;120;121;100;3.23;-25;Q4;Q3
sah4ez/exdb;https://github.com/sah4ez/exdb;0;exdb;3;1;1;1;1;100;62;61;98,38709677;61;60;98,36065574;1.61;16.099.999.999.999.900;Q4;Q4
simasch/qlrm;https://github.com/simasch/qlrm;28;qlrm;3;3;3;3;3;100;40;39;97,5;37;36;97,2972973;7.5;2.5;Q4;Q4
jeffbicca/jpa-queryfier;https://github.com/jeffbicca/jpa-queryfier;1;jpa-queryfier;20;20;2;2;2;100;35;33;94,28571429;33;31;93,93939394;5.71;5.709.999.999.999.990;Q4;Q4
blinkfox/adept;https://github.com/blinkfox/adept;2;adept;2;2;2;2;2;100;159;147;92,45283019;157;145;92,3566879;1.26;7.549.999.999.999.990;Q4;Q4
Yourinspiration/jexpresso-base-auth;https://github.com/Yourinspiration/jexpresso-base-auth;0;jexpresso-base-auth;2;2;2;2;2;100;52;48;92,30769231;50;46;92;3.85;7.689.999.999.999.990;Q4;Q4
kuros/random-jpa;https://github.com/kuros/random-jpa;9;random-jpa;1;1;0;1;0;0;756;694;91,7989418;755;694;91,9205298;0.13;-91.8;Q4;Q1
mjdbc/mjdbc;https://github.com/mjdbc/mjdbc;4;mjdbc;6;6;5;6;5;83,33333333;151;136;90,06622517;145;131;90,34482759;3.97;-6.739.999.999.999.990;Q4;Q3
huangp/entityunit;https://github.com/huangp/entityunity;0;entityunity;13;12;5;5;5;100;278;247;88,84892086;273;242;88,64468864;1.8;11.150.000.000.000.000;Q4;Q4
graeme-lockley/jfixtures;https://github.com/graeme-lockley/jfixtures;1;jfixtures;4;4;1;1;1;100;100;88;88;99;87;87,87878788;1;12;Q4;Q4
the-fascinator/plugin-authentication-internal;https://github.com/the-fascinator/plugin-authentication-internal;0;plugin-authentication-internal;1;1;0;1;0;0;16;13;81,25;15;13;86,66666667;6.25;-81.25;Q4;Q1
mybatis/mybatis-3;https://github.com/mybatis/mybatis-3;9152;mybatis-3;42;33;14;19;14;73,68421053;2576;2195;85,20962733;2557;2181;85,29526789;0.74;-11.529.999.999.999.900;Q4;Q3
victims/victims-lib-java;https://github.com/victims/victims-lib-java;3;victims-lib-java;11;8;7;8;7;87,5;166;140;84,3373494;158;133;84,17721519;4.82;31.599.999.999.999.900;Q4;Q3
cologneintelligence/FitGoodies;https://github.com/cologneintelligence/FitGoodies;3;FitGoodies;6;3;1;3;1;33,33333333;925;772;83,45945946;922;771;83,62255965;0.32;-50.129.999.999.999.900;Q4;Q2
AsanteIT/asante-bundler;https://github.com/AsanteIT/asante-bundler;0;asante-bundler;2;2;2;2;2;100;86;72;83,72093023;84;70;83,33333333;2.33;16.28;Q4;Q4
tamurashingo/dbutils3;https://github.com/tamurashingo/dbutils3;0;dbutils3;3;3;3;3;3;100;67;56;83,58208955;64;53;82,8125;4.48;16.42;Q4;Q4
bingoohuang/multi-tenants-connection-pool;https://github.com/bingoohuang/multi-tenants-connection-pool;1;multi-tenants-connection-pool;16;13;5;7;5;71,42857143;479;382;79,74947808;472;377;79,87288136;1.46;-8.319.999.999.999.990;Q3;Q3
jfaster/mango;https://github.com/javacc/mango;784;mango;5;4;4;4;4;100;1930;1502;77,8238342;1926;1498;77,77777778;0.21;22.180.000.000.000.000;Q3;Q4
brettwooldridge/SansOrm;https://github.com/brettwooldridge/SansOrm;127;SansOrm;6;6;5;6;4;66,66666667;238;184;77,31092437;232;180;77,5862069;2.52;-10.64;Q3;Q3
magro/jsr303-validators;https://github.com/magro/jsr303-validators;2;jsr303-validators;1;1;1;1;1;100;23;18;78,26086957;22;17;77,27272727;4.35;21.739.999.999.999.900;Q3;Q4
imintel/mbtiles4j;https://github.com/imintel/mbtiles4j;6;mbtiles4j;12;13;13;13;13;100;80;63;78,75;67;50;74,62686567;16.25;21.25;Q3;Q4
gert-wijns/TypeSafeQueryBuilder;https://github.com/gert-wijns/TypeSafeQueryBuilder;4;TypeSafeQueryBuilder;1;1;1;1;1;100;1067;778;72,91471415;1066;777;72,88930582;0.09;27.090.000.000.000.000;Q3;Q4
feroult/yawp;https://github.com/feroult/yawp;126;yawp;2;2;0;2;0;0;1358;958;70,544919;1356;958;70,64896755;0.15;-70.54;Q3;Q1
tkint/MiniDAO;https://github.com/tkint/MiniDAO;0;MiniDAO;2;2;2;2;2;100;197;137;69,54314721;195;135;69,23076923;1.02;30.459.999.999.999.900;Q3;Q4
saksham/hulaki;https://github.com/saksham/hulaki;0;hulaki;1;1;1;1;1;100;263;180;68,44106464;262;179;68,32061069;0.38;31.560.000.000.000.000;Q3;Q4
h-thurow/q2o;https://github.com/h-thurow/q2o;0;q2o;6;6;5;6;4;66,66666667;451;306;67,84922395;445;302;67,86516854;1.33;-11.799.999.999.999.900;Q3;Q3
soulgalore/jdbcmetrics;https://github.com/soulgalore/jdbcmetrics;34;jdbcmetrics;13;11;0;11;0;0;111;67;60,36036036;100;67;67;9.91;-60.36;Q3;Q2
difi/oxalis;https://github.com/difi/oxalis;59;oxalis;8;6;1;4;1;25;1054;698;66,22390892;1050;697;66,38095238;0.38;-41.22;Q3;Q2
jonathanhds/sql-builder;https://github.com/jonathanhds/sql-builder;16;sql-builder;1;1;1;1;1;100;185;121;65,40540541;184;120;65,2173913;0.54;34.59;Q3;Q4
