repository_name_with_owner;Project;description;repository_url;commit_hash
01org/jndn-mock;jndn-mock;Tools for testing NDN Java code without using network IO.;https://github.com/01org/jndn-mock;97a28b65d006b85fdda40027243d38070e747385
0install/java-model;java-model;The Zero Install XSD model transformed by Apache XMLBeans to Java source code.;https://github.com/0install/java-model;d2d5e6e5d9b5f5b5ac64f978a6055584575b1944
1000-7/expert_es;expert_es;;https://github.com/1000-7/expert_es;2b9f2b5c34a462e0ef8e6a7c7e34ba5127691d94
1000Memories/photon-core;photon-core;On-the-fly photo processing;https://github.com/1000Memories/photon-core;d9df263ad94cac08d5b042a36ff7f481fc54df46
11039850/monalisa-orm;monalisa-orm;Very simple database ORM;https://github.com/11039850/monalisa-orm;ba6164f146e14689ba09afda18956c60db4abd1e
11039850/monalisa-service;monalisa-service;Very simple database service;https://github.com/11039850/monalisa-service;7d11369e5671a10ef61cb6c49494f00a98d503a7
15058126273/mysql_table_helper;mysql_table_helper;mysql自动更新表结构工具;https://github.com/15058126273/mysql_table_helper;86edc48d2fb68990c2b27d5ba6e679845eee8df7
1and1/snmpman;snmpman;SNMP agent simulator;https://github.com/1and1/snmpman;a5e98acd0abc6fa40e21081b09593e8b80c91443
2gis/cartoshka;cartoshka;CartoCSS parser for Java;https://github.com/2gis/cartoshka;0c9377b5c1143464c537b5b98dae32faaef8c2a7
2gis/Winium.Elements;Winium.Elements;With the help of Winium.Elements you could simplify interaction         with such complex elements like DataGrid, ComboBox, Menu and etc.;https://github.com/2gis/Winium.Elements;af7c6505a607140cd6a6efdbc47fc1d7d30aa08b
3musket33rs/mathsync;mathsync;Synchronization between browsers and server;https://github.com/3musket33rs/mathsync;77a87e555cc53ede272e18c2c014eeadd7673996
3pillarlabs/quartz-simpledb-jobstore;quartz-simpledb-jobstore;A Quartz job store implementation to persist job details and triggers to Amazon SimpleDB;https://github.com/3pillarlabs/quartz-simpledb-jobstore;9980c6073bed45188fffe17bde114d114ca824d4
3pillarlabs/spring-data-simpledb;spring-data-simpledb;Provides a parser for Amazon SimpleDb SQL;https://github.com/3pillarlabs/spring-data-simpledb;f1e0eb4e48ec4674d3966e8f5bc04c95031f93ae
3pillarlabs/spring-integration-aws;spring-integration-aws;A collection of channels and channel adapters for receiving and sending messages using Amazon Simple Queue Service (SQS) and Amazon Simple Notification Service (SNS).;https://github.com/3pillarlabs/spring-integration-aws;6d2e8c63cc0cd5b666356a696e80674952302495
3wks/thundr;thundr; thundr is a light-weight java web framework designed for use in cloud deployed web applications. ;https://github.com/3wks/thundr;13ee04f4ebf0634dfbb5141bd5635b3a9587bc4a
3wks/thundr-gae-app;thundr-gae-app;A parent pom for thundr gae apps common project setup;https://github.com/3wks/thundr-gae-app;2689a97357dc05498c14bf0c80910ec28efd2cf5
3wks/thundr-http;thundr-http;Provides an API for http connectivity functionality for thundr projects.;https://github.com/3wks/thundr-http;b4a896fccbcde7a60b934453b5bbb106df05c666
3wks/thundr-http-ning;thundr-http-ning;An implementation of thundr-http using the ning asynchronous library;https://github.com/3wks/thundr-http-ning;82ec2c28177fdcf60ed945259734b8586d68126c
3wks/thundr-jrebel-plugin;thundr-jrebel-plugin;JRebel plugin for the Thundr framework.;https://github.com/3wks/thundr-jrebel-plugin;2dd355c673766190a7bd35fa6fb5986fa9b91197
3wks/thundr-parent;thundr-parent;A parent pom for thundr projects for common project setup;https://github.com/3wks/thundr-parent;a46bd967619acfd8ef48900c6edbdc9750704cfe
41zone/StreamResultX;StreamResultX;Struts2 Plugin for Download cancelled exception;https://github.com/41zone/StreamResultX;4af09d843584d24c965aac5dd8e707e659bd8a18
41zone/Support.FO;Support.FO;Java Development Toolkit;https://github.com/41zone/Support.FO;d07036168a7496adc336e7e0f930cf2421bc6e2d
41zone/Validation.FO;Validation.FO;Validation Framework for Java Development;https://github.com/41zone/Validation.FO;09154ad449110544b582285a56f6b885b65102bc
